Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,93,189,239,108,211,175,175,240,563,468,263,211,2883,2188,773,545,414,393,255,239,377,390,94,143,228,284,388,399,466,530
African Region,588508,607330,620445,638935,650973,668983,688268,708186,726403,743180,763846,793502,804507,835458,841388,831177,833619,835237,832282,821742,804031,764244,727320,694438,655614,631381,604566,578326,578552,590252
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,9,9,12,12,8,7,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,5544,5844,6183,6592,7049,7475,7883,8529,9410,10235,11038,12333,13391,14880,16955,17846,17567,16328,13805,11334,10045,8972,8550,8570,8798,9549,10192,10595,10793,10784
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,9,9,8,8,8,7,7,7,7,6,6,6,5,5,5,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,36419,38637,32357,30310,26126,21616,17101,19231,19136,18839,8967,8568,8654,11049,12017,7074,3517,3791,6577,4105,4993,5108,1087,481,1309,901,580,560,155,110
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,5564,5734,5854,5984,6187,6362,6587,6825,7051,7294,7608,8957,9796,11043,12718,13749,14428,14906,14566,13811,13172,12635,12990,13119,12780,13347,13628,12995,13880,13264
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,729,585,492,396,346,261,238,240,182,249,105,118,121,57,33,28,20,11,5,16,4,3,1,0,1,0,0,0,0,0
Bolivia,144,119,122,76,63,36,34,24,15,16,35,9,7,6,5,7,12,11,6,5,13,4,5,8,4,1,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,11,15,5,53,28,19,81,95,53,63,56,32,17,12,9,4,9,8,13,12,11,3,1,3,7,1,4,11,12,14
Brazil,4212,4099,4045,3131,3257,3186,2298,1626,1693,1767,1779,948,836,780,852,1061,976,730,405,386,372,307,287,214,151,114,97,122,121,118
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
